code_module,code_presentation,id_student,id_site,activity_type,week_from,week_to,date,sum_click
AAA,2013J,401869,546652,forumng,,,-10,3
AAA,2013J,401869,546652,forumng,,,-10,2
AAA,2013J,401869,546652,forumng,,,-9,1
AAA,2013J,401869,546652,forumng,,,-9,5
AAA,2013J,401869,546652,forumng,,,-9,3
AAA,2013J,401869,546652,forumng,,,-6,7
AAA,2013J,401869,546652,forumng,,,-6,7
AAA,2013J,401869,546652,forumng,,,-4,7
AAA,2013J,401869,546652,forumng,,,-4,8
AAA,2013J,401869,546654,forumng,,,5,6
AAA,2013J,401869,546654,forumng,,,5,2
AAA,2013J,401869,546654,forumng,,,5,5
AAA,2013J,401869,546657,forumng,,,5,1
AAA,2013J,401869,546657,forumng,,,5,2
AAA,2013J,401869,546654,forumng,,,6,1
AAA,2013J,401869,546654,forumng,,,6,1
AAA,2013J,401869,546654,forumng,,,8,1
AAA,2013J,401869,546657,forumng,,,8,1
AAA,2013J,401869,546657,forumng,,,8,1
AAA,2013J,401869,546657,forumng,,,10,2
AAA,2013J,401869,546654,forumng,,,10,1
AAA,2013J,401869,546657,forumng,,,10,1
AAA,2013J,401869,546654,forumng,,,15,1
AAA,2013J,401869,546654,forumng,,,15,3
AAA,2013J,401869,546657,forumng,,,16,3
AAA,2013J,401869,546657,forumng,,,16,6
AAA,2013J,401869,546657,forumng,,,17,4
AAA,2013J,401869,546657,forumng,,,17,3
AAA,2013J,401869,546650,forumng,,,22,1
AAA,2013J,401869,546650,forumng,,,22,1
AAA,2013J,401869,546654,forumng,,,27,2
AAA,2013J,401869,546654,forumng,,,27,3
AAA,2013J,401869,546654,forumng,,,33,1
AAA,2013J,401869,546654,forumng,,,33,1
AAA,2013J,401869,546654,forumng,,,40,1
AAA,2013J,401869,546654,forumng,,,43,1
AAA,2013J,401869,546654,forumng,,,43,2
AAA,2013J,401869,546657,forumng,,,47,2
AAA,2013J,401869,546657,forumng,,,47,1
AAA,2013J,401869,546657,forumng,,,49,2
AAA,2013J,401869,546657,forumng,,,49,2
AAA,2013J,401869,546654,forumng,,,55,1
AAA,2013J,401869,546654,forumng,,,55,1
AAA,2013J,401869,546655,forumng,,,57,1
AAA,2013J,401869,546655,forumng,,,57,1
AAA,2013J,401869,546654,forumng,,,58,1
AAA,2013J,401869,546654,forumng,,,58,1
AAA,2013J,401869,546654,forumng,,,60,1
AAA,2013J,401869,546654,forumng,,,60,1
AAA,2013J,401869,546654,forumng,,,65,1
AAA,2013J,401869,546654,forumng,,,65,1
AAA,2013J,401869,546654,forumng,,,72,1
AAA,2013J,401869,546654,forumng,,,72,1
AAA,2013J,401869,546654,forumng,,,84,1
AAA,2013J,401869,546655,forumng,,,99,1
AAA,2013J,401869,546655,forumng,,,99,1
AAA,2013J,401869,546655,forumng,,,113,2
AAA,2013J,401869,546655,forumng,,,113,2
AAA,2013J,401869,546650,forumng,,,115,1
AAA,2013J,401869,546655,forumng,,,115,1
AAA,2013J,401869,546655,forumng,,,115,1
AAA,2013J,401869,546655,forumng,,,124,2
AAA,2013J,401869,546655,forumng,,,124,4
AAA,2013J,401869,546654,forumng,,,156,1
AAA,2013J,401869,546654,forumng,,,156,1
AAA,2013J,401869,546654,forumng,,,165,1
AAA,2013J,401869,546654,forumng,,,165,1
AAA,2013J,401869,546654,forumng,,,172,1
AAA,2013J,401869,546654,forumng,,,172,2
AAA,2013J,401869,546649,forumng,,,175,1
AAA,2013J,401869,546656,forumng,,,205,1
AAA,2013J,401869,546658,forumng,,,205,1
AAA,2013J,401869,546658,forumng,,,205,3
AAA,2013J,401869,546656,forumng,,,205,1
AAA,2013J,401869,546649,forumng,,,205,1
AAA,2013J,401869,546656,forumng,,,208,3
AAA,2013J,401869,546656,forumng,,,208,1
AAA,2013J,401869,546644,forumng,,,221,1
AAA,2013J,401869,546644,forumng,,,221,1
AAA,2013J,401869,546644,forumng,,,222,1
AAA,2013J,401869,546644,forumng,,,222,1
AAA,2013J,401869,546654,forumng,,,225,1
AAA,2013J,401869,546654,forumng,,,225,1
AAA,2013J,401869,546644,forumng,,,228,1
AAA,2013J,401869,546644,forumng,,,228,2
AAA,2013J,401869,546644,forumng,,,235,1
AAA,2013J,401869,546644,forumng,,,235,1
AAA,2013J,401869,546654,forumng,,,245,1
AAA,2013J,401869,546650,forumng,,,245,4
AAA,2013J,401869,546650,forumng,,,245,1
AAA,2013J,401869,546654,forumng,,,245,1
AAA,2013J,401869,546650,forumng,,,253,6
AAA,2013J,401869,546650,forumng,,,253,1
AAA,2013J,401869,546660,glossary,,,38,2
AAA,2013J,401869,546614,homepage,,,-10,7
AAA,2013J,401869,546614,homepage,,,-9,10
AAA,2013J,401869,546614,homepage,,,-6,8
AAA,2013J,401869,546614,homepage,,,-4,3
AAA,2013J,401869,546614,homepage,,,2,7
AAA,2013J,401869,546614,homepage,,,3,2
AAA,2013J,401869,546614,homepage,,,5,9
AAA,2013J,401869,546614,homepage,,,6,1
AAA,2013J,401869,546614,homepage,,,8,2
AAA,2013J,401869,546614,homepage,,,10,6
AAA,2013J,401869,546614,homepage,,,11,2
AAA,2013J,401869,546614,homepage,,,12,1
AAA,2013J,401869,546614,homepage,,,15,13
AAA,2013J,401869,546614,homepage,,,16,5
AAA,2013J,401869,546614,homepage,,,17,10
AAA,2013J,401869,546614,homepage,,,18,5
AAA,2013J,401869,546614,homepage,,,19,8
AAA,2013J,401869,546614,homepage,,,20,1
AAA,2013J,401869,546614,homepage,,,22,2
AAA,2013J,401869,546614,homepage,,,27,3
AAA,2013J,401869,546614,homepage,,,31,7
AAA,2013J,401869,546614,homepage,,,32,1
AAA,2013J,401869,546614,homepage,,,33,10
AAA,2013J,401869,546614,homepage,,,35,1
AAA,2013J,401869,546614,homepage,,,38,4
AAA,2013J,401869,546614,homepage,,,39,1
AAA,2013J,401869,546614,homepage,,,40,1
AAA,2013J,401869,546614,homepage,,,43,1
AAA,2013J,401869,546614,homepage,,,47,5
AAA,2013J,401869,546614,homepage,,,49,2
AAA,2013J,401869,546614,homepage,,,53,1
AAA,2013J,401869,546614,homepage,,,55,2
AAA,2013J,401869,546614,homepage,,,57,2
AAA,2013J,401869,546614,homepage,,,58,2
AAA,2013J,401869,546614,homepage,,,60,1
AAA,2013J,401869,546614,homepage,,,65,1
AAA,2013J,401869,546614,homepage,,,72,1
AAA,2013J,401869,546614,homepage,,,84,1
AAA,2013J,401869,546614,homepage,,,86,1
AAA,2013J,401869,546614,homepage,,,87,1
AAA,2013J,401869,546614,homepage,,,88,2
AAA,2013J,401869,546614,homepage,,,92,1
AAA,2013J,401869,546614,homepage,,,97,3
AAA,2013J,401869,546614,homepage,,,99,2
